,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2018-07-29,16098,310647008.0,2418741531.66,0.413903774552,19561,0.036788,30330,16711717.4443
2018-07-30,16479,254606000.0,2570495225.12,17.554104,22067,0.039096,30951,63997434.5683
2018-07-31,17368,211254000.0,2399674579.18,179.844098166,22091,0.036498,31986,28886951.8455
2018-08-01,22556,140270000.0,2233286632.85,38.3450202678,25349,0.033967,37960,13619031.9176
2018-08-02,25202,148160000.0,2148423796.12,0.475261640325,25116,0.032677,38245,13625583.2922
2018-08-03,27386,154910000.0,2072892916.48,51.7698147079,25800,0.031528,39618,10216506.9081
2018-08-04,29457,128197000.0,2011722784.36,0.182017039942,29605,0.030597,53898,7278328.47892
2018-08-05,29364,124479000.0,1902218093.89,4.87647695487,28786,0.028932,51793,29779545.2388
2018-08-06,30546,118348000.0,1997341382.77,42.1782118023,31281,0.030379,128653,10177099.0042
2018-08-07,31191,116330000.0,1920706478.21,1.45304740439,30107,0.029213,216122,5895030.92495
2018-08-08,32310,147343000.0,1829828220.44,29.3324336205,33490,0.027831,128271,11901058.3714
2018-08-09,32970,142877000.0,1612826047.01,62.6495652122,33279,0.02453,186162,7413535.77077
2018-08-10,33126,134155000.0,1700509160.01,38.6470135834,31620,0.025864,228121,6925727.59108
2018-08-11,33049,119307000.0,1566081971.9,89.6021415123,30624,0.023819,308965,6589709.86911
2018-08-12,33671,101854000.0,1487998082.99,53.0746365128,31272,0.022632,242421,4305091.72097
2018-08-13,34366,124043000.0,1488223879.21,120.732268683,32787,0.022635,304430,7152518.79642
2018-08-14,35519,108349000.0,1278451906.61,143.42118197,33412,0.019445,174280,8737707.35267
2018-08-15,36676,136496000.0,1259668071.29,48.1349991694,35025,0.019159,196455,7658481.76778
2018-08-16,36633,103582000.0,1278136743.24,42.3902489184,33780,0.01944,193029,10180660.6495
2018-08-17,39692,152305000.0,1283167705.59,44.4563541087,57701,0.019516,373825,70069898.8628
2018-08-18,42767,141608000.0,1538761687.44,3.50584926885,63332,0.023404,308721,58838549.1564
2018-08-19,44082,97137100.0,1418193137.98,884.274895195,87014,0.02157,416755,84247820.423
2018-08-20,48621,99473200.0,1461996238.44,10.0450970679,64453,0.022236,335435,42013073.914
2018-08-21,48857,98379000.0,1354016611.33,20.6440611102,46388,0.020594,206854,4341132.26986
2018-08-22,54560,96828800.0,1380578848.59,189.853191418,48566,0.020998,228139,295345562.636
2018-08-23,32957,82585900.0,1294495873.66,67.8751290438,35940,0.019689,174721,7127700.94803
2018-08-24,14230,90424900.0,1367823714.47,9.67074547477,26977,0.020804,144647,9025882.00382
2018-08-25,13708,88818800.0,1418753257.48,26.2248869282,27849,0.021579,147527,6661835.79041
2018-08-26,14254,97504300.0,1475196861.05,51.1883280581,26086,0.022437,137101,5682361.14648
2018-08-27,75964,107457000.0,1498004975.87,60.3314314138,63472,0.022784,301241,36957815.7376
2018-08-28,81282,166567000.0,1609525763.38,26.2091195856,68277,0.02448,320419,19612678.0558
2018-08-29,85085,143515000.0,1759917764.71,26.8369008588,71899,0.026768,345569,11545695.8815
2018-08-30,81069,119155000.0,1671303572.16,35.6235422567,64584,0.02542,394857,11290759.0999
2018-08-31,82136,106949000.0,1636727033.64,25.1304009669,67183,0.024894,440325,15512771.9514
2018-09-01,83474,109153000.0,1668865488.61,49.2521543264,69843,0.025383,356294,5502771.52548
2018-09-02,84238,104754000.0,1747162989.38,48.4549635971,69644,0.026574,238383,6525011.48896
2018-09-03,84179,91449300.0,1685933280.18,67.2826753881,68377,0.025642,264227,5549022.55336
2018-09-04,85534,96674400.0,1647588453.09,5.4967707362,72630,0.025059,275429,5340650.82765
2018-09-05,84924,150148000.0,1661454781.3,2.23997035122,71581,0.02527,261960,9454234.24022
2018-09-06,85102,142361000.0,1424051508.79,26.8482489134,71176,0.021659,351369,18143867.1661
2018-09-07,84404,110765000.0,1420107254.13,2.77133717061,69049,0.021599,313449,11036229.7253
2018-09-08,84927,98754400.0,1353995577.77,2.10439197952,71234,0.020594,331908,5690204.81314
2018-09-09,84243,97726800.0,1269642114.97,10.9429348821,68786,0.019311,257357,4590408.08026
2018-09-10,84977,101717000.0,1320768510.45,1.05206289804,70916,0.020088,213143,25490673.2977
2018-09-11,86509,106212000.0,1276533762.31,0.591810185065,72896,0.019415,221912,144165688.403
2018-09-12,86544,109120000.0,1228208389.23,35.549478827,70098,0.01868,204092,37600726.4582
2018-09-13,86224,124862000.0,1202443099.76,50.8335792378,71106,0.018289,199151,356178168.613
2018-09-14,86599,117114000.0,1313732891.83,62.2561619865,71534,0.019981,202672,11348534.3724
2018-09-15,85692,94169900.0,1303305201.57,32.9294819167,70636,0.019823,202159,4545887.91263
2018-09-16,86204,102132000.0,1310024565.88,63.0070368901,70621,0.019925,193703,3196049.73542
2018-09-17,86356,109688000.0,1312097659.47,2.02026756171,71184,0.019956,206158,7410426.7761
2018-09-18,86255,100841000.0,1214912404.54,1.75683492173,69612,0.018478,195825,12366634.5112
2018-09-19,87833,114381000.0,1272626891.54,1.70810268969,74111,0.019356,225675,28248135.7772
2018-09-20,102602,135790000.0,1299308114.6,1.60929315488,88936,0.019762,243075,159927484.494
2018-09-21,90502,283823000.0,1414001576.61,1.57257026988,85135,0.021506,250102,83952120.0796
2018-09-22,89370,173243000.0,1637559952.97,1.60624503262,77868,0.024907,218146,35124053.3362
2018-09-23,89327,138225000.0,1525250337.29,1.30520907068,75522,0.023198,221516,11604227.8231
2018-09-24,88877,116603000.0,1560773224.87,82.8915134208,75355,0.023739,242427,31436443.84
2018-09-25,92544,126284000.0,1448371958.05,24.1823290996,78394,0.022029,253772,15692744.9724
2018-09-26,91434,110081000.0,1398692068.89,53.8403441446,76918,0.021274,245330,10175798.5737
2018-09-27,84411,124196000.0,1387087911.57,57.4410016253,60640,0.021097,199709,7962202.21154
2018-09-28,89638,114936000.0,1479759083.81,41.6568676512,74251,0.022507,232292,10647334.5789
2018-09-29,89205,108096000.0,1442053332.61,21.9849361158,73892,0.021933,339589,5857542.42757
2018-09-30,92101,117217000.0,1449660492.28,47.8675410278,77015,0.022049,363219,6550312.47494
2018-10-01,88695,110444000.0,1460515305.48,44.4820068656,73433,0.022214,302464,7500867.01564
2018-10-02,89616,111868000.0,1450179841.84,64.0940062344,75131,0.022057,260739,7006895.66044
2018-10-03,89601,107097000.0,1450192670.81,44.88376839,74995,0.022057,227850,5931026.8313
2018-10-04,90575,148666000.0,1421383381.71,1.08887485521,75833,0.021619,237294,11226445.7728
2018-10-05,92842,139745000.0,1494914814.92,0.984999444858,80087,0.022737,248523,11486332.7846
2018-10-06,91765,162799000.0,1536914896.12,63.8673165937,77978,0.023376,238503,18914034.2761
2018-10-07,91055,299132000.0,1563178803.7,48.5804108299,79097,0.023775,260129,25849628.7369
2018-10-08,92698,302834000.0,1776008027.42,65.7636738534,87931,0.027012,240571,36099691.8796
2018-10-09,53468,188256000.0,1747131275.44,47.5901046441,57047,0.026573,151145,14473134.3677
2018-10-10,18987,165671000.0,1705354341.55,26.0149479561,37937,0.025938,130054,13546109.9523
2018-10-11,15719,172387000.0,1663837612.67,2.52410789754,30963,0.025306,84500,18876954.023
2018-10-12,83044,183447000.0,1364912789.03,0.25826926416,72547,0.02076,190872,14643355.7484
2018-10-13,90940,149554000.0,1492528880.74,6.86271368057,79148,0.022701,244398,7001221.36159
2018-10-14,90478,146316000.0,1552602199.2,23.6643569376,77795,0.023614,222966,8510424.93519
2018-10-15,92312,197544000.0,1545660032.03,29.9280704333,80235,0.023509,219907,14577410.9033
2018-10-16,47978,103826000.0,1652408677.11,47.6486642306,51843,0.025132,170507,11274151.3805
2018-10-17,77658,103220000.0,1605687130.98,24.4787083114,66333,0.024422,222580,7882702.63281
2018-10-18,94669,113584000.0,1593602730.32,9.2388321387,82319,0.024238,599796,8154152.62674
2018-10-19,91591,83554800.0,1594194463.32,2.03202967928,85027,0.024247,630173,4306253.93036
2018-10-20,91158,87168500.0,1583977277.51,2.165168205,81143,0.024092,593506,5619592.96333
2018-10-21,89879,92125200.0,1587054155.48,5.78577495143,80214,0.024138,518079,10787773.553
2018-10-22,71271,81313000.0,1590361035.08,26.3774443701,82219,0.024189,475449,6443969.23111
2018-10-23,75853,80184600.0,1566054271.18,23.2858202122,98028,0.023819,509865,9343474.97371
2018-10-24,74129,63083100.0,1538288913.46,1.81283811826,97194,0.023397,796062,39656747.7979
2018-10-25,72624,81264400.0,1543555077.97,2.14585263053,91965,0.023477,901607,5023447.22884
2018-10-26,72569,82337400.0,1517827334.25,2.32339820486,92989,0.023085,754655,5407052.12126
2018-10-27,55926,68108100.0,1554081437.99,2.243482218,80545,0.023637,825041,5364944.14582
2018-10-28,16964,68048500.0,1539689278.7,17.8255843151,39384,0.023418,653386,4890103.12669
2018-10-29,17141,71341500.0,1544468004.63,2.72454373295,35232,0.023491,573170,8528958.19708
2018-10-30,20263,59288100.0,1457096517.95,16.6050477069,41149,0.022162,637289,8105780.62853
2018-10-31,18554,61235400.0,1461120285.46,23.4031597486,43978,0.022223,718606,14146887.4216
2018-11-01,18646,59714000.0,1459207126.42,38.426776825,40819,0.022194,707045,1549056179.55
2018-11-02,21195,72574300.0,1484494142.72,22.6674419656,48546,0.022579,700312,5912160.75257
2018-11-03,22888,65167000.0,1503297935.81,38.9026760569,50286,0.022864,996897,6192498.11638
2018-11-04,20720,85125200.0,1491956149.14,42.5259727577,42095,0.022692,1019575,13720340.9748
2018-11-05,19047,77425400.0,1528452788.5,24.4644525733,41668,0.023247,1099339,9057057.41664
2018-11-06,18070,117452000.0,1571019080.92,11.9498487713,39249,0.023796,1018177,8687061.95154
2018-11-07,21024,124654000.0,1601775708.5,19.9182990885,44614,0.024362,1184135,8386543.95219
2018-11-08,26089,59261300.0,1562603423.12,4.75488003042,51743,0.023766,1272245,4875219.64359
2018-11-09,19992,52900400.0,1517788566.09,27.7824408367,43114,0.023085,1304191,12189734.9419
2018-11-10,18226,50249500.0,1514520908.19,2.3491093,44532,0.023035,1201864,4624041.7826
2018-11-11,20640,46834800.0,1513074558.99,2.370339,44740,0.023013,1397839,4964195.36231
2018-11-12,21156,60384600.0,1503488831.68,3.8210757,50274,0.022867,1215994,6162774.14813
2018-11-13,20638,60343200.0,1473841920.03,11.7016530625,61348,0.022417,1180331,11144976.8181
2018-11-14,20808,92991300.0,1442908057.65,2.14592473762,53385,0.021946,1124957,38815368.7489
2018-11-15,23985,86974800.0,1275533425.18,2.0199910888,55606,0.0194,1283921,39307299.3416
2018-11-16,20875,66279000.0,1253086628.48,1.60299587524,52350,0.019059,1648491,9981820.12704
2018-11-17,19806,58196600.0,1242803844.8,1.46548897729,56957,0.018902,1400597,7739876.90254
