Date,ada,ae,aion,ant,bat,bch,bnb,btc,btg,btm,cennz,ctxc,cvc,dai,dash,dcr,dgb,doge,drgn,elf,eng,eos,etc,eth,ethos,fun,gas,gno,gnt,gusd,icn,icx,kcs,knc,loom,lrc,lsk,ltc,maid,mana,mtl,nas,neo,omg,pax,pay,pivx,poly,powr,ppt,qash,rep,rhoc,salt,snt,srn,trx,tusd,usdc,usdt,ven,veri,vtc,waves,wtc,xem,xlm,xmr,xrp,xvg,zec,zil,zrx
2017-11-15,51744248.3128,513417.68356700003,242828.848942,144395.604754,484402.365825,2027954508.3,376456.944512,19653332646.4,,1019410.60802,,,1220106.5364899999,,130074763.513,6419405.56785,1108126.28835,12371728.7284,,,,47072672.5385,63029977.342,5819834806.11,1695225.98756,505734.29429499997,609301.306997,363127.086276,968484.901666,,370157.151031,,937525.40445,1369154.9323200001,,375329.663329,23494749.9811,1265522536.36,463954.79374399997,448958.09739300003,184904.477478,34092.003966000004,22360850.64,12905586.0711,,2084806.3742099998,9178768.841669999,,6830955.191819999,4134779.7991400003,,904468.924698,54154.7565799,1790104.4378,1595129.11279,,883421.3948969999,,,54892935.7237,,1385877.14779,3282290.30174,5342151.50289,560944.039469,2428057.65847,15050.189794400001,,39680571.8475,4671034.8314,105277282.923,,1075376.80416
2017-11-16,61825795.3375,931141.983914,340880.38345100003,156205.57969100002,1205317.7572700002,1404446770.85,180690.824276,25779850794.8,12852783.3092,1114250.5410799999,,,2641741.33565,,265974239.379,6302626.70509,2007004.77445,14154463.564000001,,,,39792065.6246,50891349.4228,5275605885.25,2104869.2118599997,694381.40251,548956.6580439999,313324.651764,1084231.9455600001,,580776.610583,,737328.368499,1319804.55164,,515323.13939399994,46430561.4776,1658375379.94,880417.422772,134268.156388,3339511.90146,47578.176075999996,22527983.65,54503213.8288,,1504811.91742,1471959.9299700002,,4564372.6699,3024188.33159,,756271.832495,108868.08702400001,2304852.79527,1293656.78103,,1165324.99733,,,123092988.077,,1880020.9643299999,4129605.12066,2452811.84357,798183.409075,3926867.8387300004,3560.3945354999996,,135318915.355,7492686.53082,79821378.9155,,1196150.8024
2017-11-17,115083117.24,4392702.9977,245623.63285700002,425192.696179,1461511.03325,1956354699.73,385559.77212,27276055666.4,18768116.123,1451443.58027,,,1856889.67238,,302447272.385,5795586.1202,1361505.62839,10631908.8415,,,,50636969.5448,60970792.7187,5237120386.95,3050234.47237,614898.166452,5085842.26788,458284.557344,1303573.31758,,741807.56572,,4986.28893677,1248786.95848,,910052.5952780001,14290290.0398,1539338629.77,333142.138135,70301.2769015,1791668.4082400003,155299.56350999998,56666850.57,12890214.0578,,1546435.5343799999,6472223.94772,,4740692.60076,2120761.57449,,1110513.61779,116538.42222200001,3407786.2265,500038.45058500004,,677109.825491,,,85175457.2979,,1979757.9571900002,2649736.98382,2395733.43689,1305879.19966,2409990.77945,4531.36754316,,129224738.59,7931060.01931,91761957.6742,,1168803.42764
2017-11-18,117682013.955,1512699.5055200001,389814.214756,419138.42355300003,1740971.63043,1481381069.44,86716.07917879999,19518236321.5,17648111.525,438144.660462,,,1015417.36113,,481925668.03800005,5579764.141009999,1881521.87235,17260124.5176,,,,37120478.3662,56402449.5519,4358502991.25,715056.6124989999,682016.355254,3552248.1204699995,413871.557703,776372.214573,,322417.915844,,18307.420118000002,1207029.72347,,4186667.86337,8158488.17615,1192852574.88,717962.892296,709527.586492,1072567.1995,65770.91274,129690575.98,19004758.2764,,1410855.54792,4407841.126759999,,2154029.6419,2860330.5935400003,,307565.19272,941425.187774,1617376.60354,1014904.62467,,203538.661431,,,63255379.1318,,1463902.58998,2443103.88991,1599037.7262799998,652297.503532,2266423.1504599997,17812.9683883,,58484131.0257,10894843.9889,76646502.2432,,2206107.92657
2017-11-19,50836557.0819,1773114.0487799998,90206.6375946,412494.93571,707871.976148,1827379786.71,335044.065139,21435790609.6,17580055.2668,537104.786611,,,1096425.03255,,1675320930.99,6116923.21743,836948.937227,9615642.24112,,,,35159489.8493,41093853.9467,4565692023.88,1026064.4429700001,915493.444316,2229264.4257,256456.86724499997,905256.507825,,212780.05347,,19528.6747973,2268662.43958,,1118347.11068,15118860.9909,1173484069.9,487643.19848500006,164672.828369,378221.321368,4013.9525641000005,98395525.36,16678291.1528,,1609388.5378,1596598.4924,,11935444.2205,4358851.13292,,535910.535298,56255.062720500006,9423410.2157,393539.611575,,391118.472223,,,120294043.06899999,,1892991.8118,2802158.75998,3723512.53824,811748.567436,3630277.90207,67381.0221237,,37323207.7749,10408722.3823,60578912.2499,,1398088.60845
2017-11-20,332733193.153,2143511.0205,24821033.5918,659289.585772,1005945.70241,1107739824.95,114082.473018,23942095652.1,127876884.63700001,489060.30949200003,,,5446276.91495,,132202784.698,6848322.9581,546505.427001,14291013.3892,,,,39144610.5788,86002334.3752,6269857823.29,7742531.27355,9568328.98924,1734347.4164,270408.138851,1786332.7585,,1043441.2278100001,,54170.954960899995,2377703.84497,,3841654.7602199996,15450896.577,1239585332.76,442075.467368,300612.717146,3987608.97268,5235.22829538,81089622.84,21669546.4903,,3982684.6943099997,1964114.2928900002,,37075024.6665,1824815.8331799998,,619391.939683,64711.4391513,3309432.858,2092569.48587,,295643.991484,,,50600923.5791,,1524195.47273,4680113.63344,1912405.3219,861385.865656,3541851.167,24841.447695299998,,69630888.5619,9350979.42502,42488732.2609,,2650339.7878400004
2017-11-21,115178829.88200001,2810619.97278,189942.575052,511047.14975299995,1111874.1503,1578497998.52,249543.170533,24510232855.2,246198643.26099998,511162.101836,,,1455334.09562,,223661536.31,7537930.00363,906538.061025,8034826.68232,,,,62773249.2072,73353888.8525,6212522575.38,9174464.659119999,552372.729135,1378718.00455,419660.08317,2681508.91814,,1427123.75574,,10833.611578299999,5289746.04615,,807867.5108609999,17444089.9385,1287068445.46,562750.958721,326504.953758,1509922.96264,28637.8610256,87912629.55,21799544.5962,,3003414.76519,1807330.1234,,12716141.9254,2166490.1996400002,,490936.37504899997,23485.3276466,3721718.54155,2387161.78794,,348831.572783,,,93165090.9401,,1032595.00106,5271543.53274,1415333.32914,1110446.9350700001,4909315.0538800005,17789.7781909,,68540952.0612,10177671.3187,115829535.957,,1877121.3112599999
2017-11-22,58731150.8052,1566637.33604,318119.459918,628639.259935,827296.752059,1585164320.01,167906.355691,20348301781.6,181608640.722,587821.703974,,,2300619.07761,,247858030.87,6155230.70259,1247991.09449,28616723.257,,,,41516143.8026,147266017.114,6188422795.36,6825243.25195,1062493.37766,796809.2413989999,319750.576322,1075939.0772,,993030.2207540001,,17879.3954354,1330680.80281,,737518.739269,61288012.8388,962636517.905,210353.60124000002,579383.406559,1139159.97116,,41945424.3,12996246.7366,,1578220.27369,3828188.2248199997,,37350984.718,3299571.4185099998,16994145.6396,3954891.0888699996,203287.082525,2151145.74097,4839014.0773,,986297.0597389999,,,49049510.7894,,797849.7895729999,2912271.44471,2278913.77708,786499.5162399999,3055841.4816900003,28965.3483111,,89483233.0325,13391438.4378,158509699.407,,1987629.93038
2017-11-23,63033634.6725,3371602.2964,425935.401015,414221.55112899997,755100.530175,1721466234.47,95161.96667260001,22127414858.8,92479311.5833,759654.175626,,,1507373.74828,,140309846.103,7292384.512519999,1081786.76826,39130998.2767,,,,41359969.0083,63024477.716000006,6512207894.41,1275066.91463,1480557.60757,1549178.2462,562885.342911,1549440.9652200001,,1566795.11764,,39104.2981917,2776777.23166,,2040992.0260299998,50047532.3148,1032315594.67,567351.345981,1501130.2312399999,116938000.54200001,,78282028.94,17933120.7699,,1435786.19797,1785684.02298,,24563551.2172,3111228.60568,15557147.5453,7213302.46832,305843.112545,1770201.78994,2139653.09246,,2098765.53882,,,56036579.6573,,1482290.1864,2390204.93743,2457199.81226,1574493.88494,2692753.6589099998,231050.797627,,77539966.1387,15117686.1842,97275647.1484,,1834694.64915
2017-11-24,60885321.6951,9697128.7962,714658.3589979999,143212.32980799998,1608642.18852,1700823938.3,74871.21112189999,18132626557.3,381455111.67300004,799674.403446,,,1690012.97834,,90305872.39799999,7631585.273589999,1541195.58687,47111368.1364,,,,32640814.4876,104267435.771,5975137449.32,2691161.3160099997,535094.631022,695018.340202,1847242.7392799999,1240602.87336,,501256.520563,,,1695754.29866,,438646.36765200004,19756484.1965,1047679881.95,621601.08355,2258048.2922,3849070.7845699997,95682.87430010001,38659620.27,15914995.3695,,1728566.4472,2171536.9593700003,,6959347.34118,3068276.91122,31126016.411,1967408.7770200002,102956.400651,2708777.69379,1555667.4945,,2293004.07497,,,100305476.184,,762963.315232,2042626.9640400002,1584893.53619,1340698.93615,1958412.05983,80056.65780039999,,92284551.3527,17170473.7198,86339165.3211,,1555408.3940299999
2017-11-25,56702989.4647,4367422.837619999,2485866.2697400004,409896.027955,9284160.99726,1151531771.47,46406.8921518,18063710661.0,381400726.135,2655940.88729,,,1538558.5811299998,,128035615.57100001,9775728.93269,1162934.0031299999,16863441.2303,,,,112743331.135,100492201.08700001,8013722356.1,1142668.97515,617784.022413,917829.2383409999,1561357.76708,1580720.95751,,432053.106538,,,1545791.96021,,666006.923418,17323543.6383,1225269427.92,377095.473227,966977.119615,946220.9755930001,2753867.92122,34782143.58,21597806.8308,,2450351.70544,1878767.22355,,4947190.209969999,4724463.76899,7468030.251130001,5245252.53335,815401.7601600001,1892225.1909900003,2912396.57152,,406750.069655,,,51287854.4616,,877779.315575,3011618.03519,1559323.55654,822801.660412,3513671.59807,29387.051511299996,,37988725.2019,13047168.483,142337043.89200002,,2611171.63121
2017-11-26,81999172.8277,2914218.24496,322331.19595900003,661014.8282699999,6011541.9871,903143313.875,225255.670107,14579400037.7,440330678.321,3942356.17531,,,2194681.4566099998,,108666470.27700001,11782931.0544,1200363.1386,33939868.901,,,,81696776.9002,79682184.4973,7472372957.24,1184669.93263,557052.880011,1529955.2966200002,1078968.1251100001,2737709.99359,,425329.897823,,92640.4431971,3872275.5466699996,,889790.389823,21480947.0015,1350917596.17,932273.9775360001,272779.14936700003,882921.760243,937732.3235540001,27900628.2,16884003.9587,,3221991.8053599996,2178085.50673,,7560621.16869,3275103.1173400003,5118630.93935,1373952.35034,195290.459212,3007875.42337,2895870.50802,,582222.909537,,,68099500.1616,,1527614.07886,7188948.3828,2712302.7253099997,463775.2787520001,3748578.1368,115280.16621600001,,52986615.4062,15199852.4229,109274874.153,,2339777.304
2017-11-27,248551306.604,4408632.50686,2306030.6907900004,1098793.13177,2119731.3248900003,2333728478.57,53632.429261699996,18273427258.0,413057365.444,2124408.5185599998,,,2369147.0496,,199305324.20299998,29647007.6597,1491715.61424,29049344.1332,,,,63188616.9488,148919274.375,9670008860.15,1509244.0559999999,379358.738687,1619987.67976,1565683.93573,3394517.56756,,1449187.14797,,7934.69903191,4662167.32537,,1101984.93435,15719320.9641,1469669857.72,600747.928461,1148252.01841,4471108.48211,893339.85998,53942872.4,21939863.6464,,3494588.8194699995,3012642.2715,,12757783.3607,1910337.3431,34808245.7119,6139077.46733,190461.7985,11954954.2621,3965114.94066,,749802.590141,,,130722519.51,,3044668.0848,3465594.7319400003,3147741.19727,2326491.7338,3937415.76706,28974.6964517,,90593067.9914,11167803.1644,95156527.9382,,2353695.78845
2017-11-28,361626658.441,3091962.77727,3850937.59496,715975.6616270001,2981092.4454799998,2603728692.79,356159.721989,23584545235.9,183434497.771,4930919.15387,,,3063042.3317299997,,110102447.31799999,13270721.7696,2489970.2995599997,32770674.0943,,,,180023449.38099998,424380309.187,11910664283.5,1641576.4466799998,981999.3765690001,995342.161321,1079685.53708,6108531.19676,,1183855.72532,,22073.9147251,2093777.3828099999,,3143879.70271,11371961.166,1567925262.45,902667.9292799999,1478197.85026,1806540.9729900002,977470.3305,75465588.64,31260796.6819,,6141776.3822099995,7598418.34028,,15901068.6914,3286838.6307900003,24805381.9676,2383723.81838,62391.998506300006,5424248.816269999,9128231.10365,,2013820.1316400003,,,128761818.924,,4517834.0908,5017014.65261,1950320.2333799999,5510403.22699,20932289.285,138396.269731,,125548671.362,10759717.9953,87229449.2729,,2859035.0112
2017-11-29,722991386.435,3024210.96232,2389540.74888,597986.027368,3985331.09257,2394679475.64,444432.181662,28458302001.1,162601428.63799998,2784956.73948,,,2834148.29905,,443205060.99,64936951.8283,4789845.909630001,34290742.5538,,,,88233196.8704,260459540.779,13470307377.1,5776934.379369999,1967716.6927200002,1694429.11316,803244.222684,3811103.93785,,664284.265281,,2735.72332436,4095707.8303300003,,1038416.25022,22307042.4692,1778597526.04,1279706.01158,1341857.98583,1754596.4127900002,4741553.84389,61948735.41,41778209.022,,7101101.4275,6788694.22853,,14048009.8411,2128941.24591,19406639.9277,2912088.70155,61323.0423464,7559439.87105,32700259.3948,,2078074.3889799998,,,178431328.472,,1757004.92454,4188533.4112400003,5603444.4226400005,5172391.29959,10834952.6631,391525.22075,,277047853.542,13265916.6995,115458237.885,,4215895.71431
2017-11-30,1439135957.91,1672488.36558,1352629.7253299998,420316.88345100003,1388234.92289,1747844354.96,476968.68718999997,22924917043.7,94074278.2608,2656808.47777,,,1202975.22786,,288168418.718,32913951.9177,2036573.00448,18484728.6663,,,,125375374.673,133293271.37200001,11405663659.7,1256632.10506,723553.356249,955247.082416,533314.5193970001,4639250.5792,,341946.835873,,7040.67807468,5340998.04006,,559390.972648,10974594.7171,1381403060.99,323082.65605,1331462.21339,1305079.3474,2240508.5234,73577137.66,25852828.3499,,4714357.31289,2559609.12176,,4536157.67041,2861291.01008,329577978.833,1185521.08442,388623.845866,3060534.45447,5821460.02516,,959837.179972,,,198601875.375,,1277514.5984,4615887.29737,3190385.36032,5276608.0449,4253018.976530001,91398.8502961,,174320386.73099998,7257107.81123,111964112.29200001,,3511488.94413
2017-12-01,2857211194.67,1536685.11343,9640926.00684,262885.29258400004,1856964.77828,1116584156.93,330157.68215300003,19570122510.1,115624130.235,4958150.7706699995,,,675950.929499,,294203792.09599996,8896795.572010001,1611680.9639,24487527.2713,,,,152080709.62,136510744.1,9724160844.89,2726716.01145,374247.83142199996,1362475.21131,467469.01579300006,3128678.63348,,523486.83577600005,,4698.95808291,1089935.89472,,886941.405394,6768099.60888,1124744513.48,640360.7737680001,964554.858699,459914.474843,1237599.07033,56337807.24,19988659.4587,,2139393.09847,4421709.3275,,3818339.7604199997,4767163.23701,40749687.7868,5165199.25734,127153.921119,10859722.9125,3857559.1322,,3211252.26889,,,83909111.8526,,1123159.5459999999,5658420.19702,1580497.11746,16238853.7593,3334867.21,153050.90329400002,,108101376.241,4834857.50402,55709884.7753,,4608171.60062
2017-12-02,919464224.767,921003.8773700001,3364513.5924400003,278581.951173,1638275.03281,1041353396.85,186808.37418800002,18449211953.6,89979183.5342,1275712.70077,,,1587945.43571,,151251977.777,19362054.5029,1247805.24505,22129072.9833,,,,112499465.91600001,131482309.33600001,10617703982.7,988627.4736889999,1685970.1024200001,626203.9582100001,452962.45533100003,1653538.1780299998,,331239.280537,,1575.285277,1896733.6276099999,,1208826.40759,7204242.5441,1122786913.23,796380.9288,283205.938793,586099.052101,1135584.21062,47102935.04,30052694.971,,3005181.6754,2968800.05432,,5319311.68401,3170604.75236,14514831.204000002,5828731.30547,817444.0743140001,10881478.1635,22405518.869000003,,978834.483128,,,189342262.124,,916370.1313799999,7418515.49407,3047440.93821,20650394.6567,7440040.86498,97034.4910856,,47069028.9401,2960042.45181,56608079.2107,,2187425.83256
2017-12-03,755702161.038,1861793.70678,728954.959592,248028.63843000002,2382844.6069799997,1544647957.28,41981806.6058,18202697112.7,82962747.3569,1500653.66417,,,2213205.64927,,174835596.63599998,8184899.961130001,2328487.9695599996,20600378.6792,3501682.60597,,,136442394.511,96416260.8359,9971702978.59,5317005.69697,1432657.73786,6871651.64804,467775.434595,1791450.73651,,761481.029978,,12354.923963,7284554.14468,,8472073.82705,15726505.6502,1129998267.7,757296.93912,1141236.95364,3897450.0658699996,2909942.0819200003,54579727.8,39627099.8272,,3013122.95466,11735319.2296,,14718765.3887,2560951.4441299997,3515073.4725099998,8580899.31801,86436.0829243,6372430.94191,11726987.0854,,3304353.81235,,,159480589.676,,613842.376086,23056593.784,5079117.10626,57672977.1727,16765312.1729,99538.83698939999,,46639283.7226,2128082.96364,65011729.0308,,5811758.2797300005
2017-12-04,4337070442.85,2619257.45294,4662570.28762,288901.497145,1826379.0034400001,1602968814.21,7091664.29253,24984063999.6,99461009.1387,1357793.97684,,,2348191.66012,,122751845.558,10373256.1103,6403462.17038,26379082.9185,55948406.4779,,,91096775.7522,87663629.9639,9815024553.07,450690.256557,1090814.90066,1195858.76128,375904.046198,3392105.54455,,285352.965703,,11543.2647309,4215541.24393,,4159874.40388,10435347.3312,1403544350.8,1793413.25059,400950.390275,2844058.00962,2202652.7894,60673158.75,15596458.2997,,2693296.70324,8915841.39105,,6580907.536169999,1590486.72842,27592536.0902,7373476.046089999,193324.39288,12574737.6863,6262455.53034,,6107162.1174099995,,,84258449.8762,,1242882.28975,5830844.72123,3962300.13278,8460733.03269,6779250.89198,332506.416316,,65647497.4485,2659206.62562,62056040.6818,,1890816.43782
2017-12-05,3911611136.7,715867.032954,521925832.93,280815.89783200005,1539075.48781,1868025820.01,1856787.3376799999,27862582837.9,111911815.595,1321375.62454,,,2867299.63278,,198408364.627,16594274.1406,3384025.15094,19756194.7563,2037589.4976400002,,,79892068.9674,137421836.792,4902828990.64,808071.890611,3897250.4780900003,815467.829269,819863.37538,1126663.79727,,715066.341529,,798.33155,2653182.99398,,2334923.36787,24161126.8044,1685633378.35,1090129.20279,558470.071013,889263.1332149999,1907417.70414,43229418.83,17286731.659,,4759179.12411,8524743.74065,,5195986.84341,2131813.9558099997,3688617.24764,2586058.7233700003,281573.696515,3683743.9484699997,3285556.1608,,3524449.0355300005,,,108637518.548,,1216558.04094,20143717.3274,10052533.1254,15654017.3817,10359000.8898,105582.256575,,112490109.60299999,4246634.0878,98166271.9322,,1342884.94931
