Date,ada,ae,aion,ant,bat,bch,bnb,btc,btg,btm,cennz,ctxc,cvc,dai,dash,dcr,dgb,doge,drgn,elf,eng,eos,etc,eth,ethos,fun,gas,gno,gnt,gusd,icn,icx,kcs,knc,loom,lrc,lsk,ltc,maid,mana,mtl,nas,neo,omg,pax,pay,pivx,poly,powr,ppt,qash,rep,rhoc,salt,snt,srn,trx,tusd,usdc,usdt,ven,veri,vtc,waves,wtc,xem,xlm,xmr,xrp,xvg,zec,zil,zrx
2017-10-07,36179.109054,488.48607000000004,,91.8,117.68509354,727.197185736,298.999962722,202.129757561,,488.518237456,,,104.9919,,291.086852957,2184.15920687,10.0472617824,1.22503530011,,,,94.02303949680001,12.4054686822,15.7723188676,441.346904995,0.26434,,177.00978681200002,116.304247213,,377.6844736,,,3.38,,1040.40801911,9.243283947,89.59795631819999,394.239152,172.99443300000001,381.735,868.53345614,,398.36,,306.281771852,239.104642847,,,322.90488999999997,,48.4276773465,410.26483890300005,398.0,294.241621687,,0.00025964254,,,598.229337375,,540.24,72.4996642235,5.68168e-05,611.1,62.523185,,,257.3593,20.7118876,228.07610069999998,,495.141279486
2017-10-08,54499.90772439999,624.6572679999999,,97.90080844170001,115.157828345,1040.40458014,331.642,188.825137771,,368.36208,,,195.67532255400002,,307.212227458,2063.3013785999997,10.4902409632,2.9763927171499995,,,,188.85436924,12.3609362411,15.7542035253,548.80251532,0.26166999999999996,,122.85251886,116.405660091,,209.745330161,,,3.48,,731.5211475,11.4424463021,129.25243524799998,916.0155900000001,288.06,444.44199999999995,,,431.4408,,318.0,205.282852677,,,318.942455,,35.731185693,295.5838,315.394342817,325.707499145,,0.000202293855,,,848.727669464,,616.318566149,64.87837605600001,0.00015303045,796.0,60.886231,,,285.9744,23.58041478,204.19935469700002,,855.112405614
2017-10-09,30458.838149799998,1020.86136651,,102.49410066,154.876190904,1248.10989721,242.0,275.481952609,,399.36,,,153.88082722,,382.549472595,1842.02786355,9.87345250632,2.1246720000000003,,,,109.861150631,12.210567912,6.1734,638.664815862,148.861895,,387.22373184599996,101.76215403,,232.5,,,1117.5,,608.3239668790001,19.1697557434,285.677513848,1278.576,324.147425098,620.756,,,389.96878443599996,,276.349716409,347.255060562,,,334.1,,171.410934131,1578.25,345.0,236.923677755,,0.000192999895,,,990.905824,,466.3725,78.2450097465,5.87856e-05,991.19804,57.4542,,,264.723999016,20.005602333800002,239.51199971900002,,749.372788313
2017-10-10,46343.1169314,1143.838125,,52.272219318699996,135.15776165,1018.88844147,224.95816200000002,266.476027756,,668.286826059,,,144.19799999999998,,252.66449488700002,1780.64270452,8.71266622854,1.96,,,,98.8667463442,11.569727325999999,15.080171712,447.86711264400003,22.163,,237.974875735,96.6780000039,,306.0,,,990.0,,912.099999992,23.730085890399998,212.94036035,1902.010175,148.70072,624.923372117,3906.38561404,,320.180677909,,260.374912607,314.71372355799997,,,558.34943,,32.824821758,631.005,263.72093705,161.818466,,0.000151378314,,,902.0,,354.62826,68.2151871405,4.03602e-05,704.7072778,55.467698,,,278.1075,20.614848000000002,189.925229536,,455.681851649
2017-10-11,42745.99476,552.228774228,,53.954214826000005,120.678641089,498.24594200800004,210.0,238.983575,,351.5581524,,,115.524628,,233.606675894,1865.47372548,8.407172671880002,2.0057538355599998,,,,140.63148385899999,11.5715045953,9.9901406,584.438785361,0.24191,,146.19219600600002,88.47869128110001,,351.27330075,,,707.115,,671.168389992,74.4820605872,158.753640413,977.6278380000001,182.65431485,238.0412,3368.25333333,,551.3480000000001,,295.029035,270.954717147,,,527.0,,37.64,266.51969757,333.824175,199.835066388,,0.00016715193599999999,,,798.3696,,491.67695,57.9997310772,2.6447849999999998e-05,1099.2680622,62.255904,,,208.5264,17.2791708802,193.15923106099999,,769.499496799
2017-10-12,46152.572646,591.456914,,128.02,139.434023872,490.021718279,345.435736889,356.57165847199997,,434.4143083000001,,,156.0964,,385.676469667,1898.65023475,9.24531427374,1.49794272384,,,,183.0271706,11.5478547786,7.3978125,820.79488,0.25771,,318.621098565,116.13223899999998,,452.69800000000004,,,950.64,,765.73577587,27.678937687199998,288.519834656,796.07,300.9221748,597.352420446,215.356842105,,416.497013392,,409.711115059,229.319272,,,447.14241,,53.998000000000005,585.9564426,241.781101878,265.174931677,,0.0001804089455,,,997.8433140000001,,671.893292899,63.99970320640001,5.73914e-05,661.2632,62.29113,,,185.5322,17.7621456813,239.80965657299998,,811.481085
2017-10-13,106924.70559299999,1014.47189827,,217.09908846,108.495619011,465.971372164,402.02671984,389.51155276800006,,575.595999992,,,167.746542729,,371.3353,1948.92395464,8.575820149710001,1.39623100947,,,,177.4857,12.1048097997,29.867980526999997,659.8668944,0.26236,,312.573,106.4935,,307.91661792599996,,,1210.00010058,,1230.14424,39.5112611418,302.7363157,400.323616,584.82,718.0,377.345263158,,491.4,,355.540936455,335.609676526,,,586.24742,,97.959830405,591.1235,334.277184828,261.33,,0.000176060255,,,942.60312516,,733.0095,87.773469972,3.10698e-05,574.0,60.270686,,,223.4565,24.000065600000003,229.881417943,,713.1270741000001
2017-10-14,699264.961828,360.5503,,82.2616529658,66.28526306399999,221.766961142,706.71573,227.278610443,,400.360990792,,,115.366422906,,434.32634322,1941.15852898,7.856760796280001,1.2044327211399999,,,,106.385836168,12.2164798007,18.7739165403,453.712800974,0.24214000000000002,,201.96783744200002,84.24293399999999,,174.95752575,,,312.853495,,725.7160665,7.829591023200001,226.477655906,669.15228,724.3120723999999,602.1669999999999,595.519719298,,309.23717726,,294.3267908,336.646637386,,,433.791484526,,52.063160849700004,498.42218399999996,181.447947368,156.882142862,,0.000162379511,,,650.0,,483.09218995199996,70.1275598568,2.8059e-05,498.217648801,63.5169,,,261.15,16.3867652,172.828532045,,496.869606
2017-10-15,663027.841217,733.608187246,,67.017826602,96.6636847113,398.630499229,632.68275,193.102578864,,574.617335292,,,110.954728338,,379.327670465,2042.74069273,6.860277332919999,1.034926255,,,,115.31691599999999,6.58985819492,16.6463457613,595.1659999999999,0.23586999999999997,,231.975976822,81.7190833926,,214.29715,,,761.3815664760001,,539.91,13.6811940004,250.09250662,332.68405,600.501153178,333.092634867,1679.19631579,,409.30552086800003,,378.50081490699995,228.14906472799998,,,403.884,,31.119451775300004,550.39,292.824,262.73239725,,0.00014992101,,,1000.0,,485.20073044199995,66.999688785,5.8726450000000004e-05,353.4288302,69.74501,,,257.53700000000003,18.083402920799998,237.800340704,,936.710814
2017-10-16,569556.699329,639.6277240000001,,81.19555286010001,143.175207,168.767338192,353.31426,240.05896391,,487.90894287599997,,,149.759392079,,281.61141608599996,2001.57341124,7.74466467927,1.12504474052,,,,85.77795,12.026543435299999,0.0,510.905642051,0.24875,,198.260010051,102.16411895,,213.06258340000002,,,564.999780683,,620.0645,10.8161536151,229.84919372,716.4741585,261.725,404.246403609,435.54,,291.63689504,,242.634622742,406.501748239,,,504.0,,58.031812800000004,511.25662541599996,591.84276,215.3062,,0.000143712793,,,658.68,,390.05,81.7659057387,2.3598000000000003e-05,638.6135,60.84477,,,263.38599999999997,18.1604765484,155.193197538,,542.2901177040001
